idx,timestamp,u0,u1,u3,u4,u6,throttle,aileron,elevator,rudder,vx,vy,vz,q0,q1,q2,q3,ang_vel_x,ang_vel_y,ang_vel_z,acc_b_x,acc_b_y,acc_b_z,ang_acc_b_x,ang_acc_b_y,ang_acc_b_z,aux1
100,33.0,0,0,0,0,0,0.0,0,0.935,0,7.5784984,0,0.4267197,0.9831497614431001,0.0,0.18280193263304267,0.0,0,-0.008410563,0,3.5624730915831258,0,-9.11719074513166,0,-0.0020080663537140366,0,1
101,33.03,0,0,0,0,0,0.0,0,0.93435,0,7.5799417,0,0.4273665,0.9831728146741766,0.0,0.18267790366012276,0.0,0,-0.008477686,0,3.5609842761555797,0,-9.117854539474083,0,-0.001971180024470936,0,1
102,33.06,0,0,0,0,0,0.0,0,0.9337,0,7.5814104,0,0.4280109,0.9831960372359071,0.0,0.18255287552818467,0.0,0,-0.008543706,0,3.559476170317691,0,-9.118532221845241,0,-0.0019340662241531573,0,1
103,33.089999999999996,0,0,0,0,0,0.0,0,0.93305,0,7.582904,0,0.4286528,0.9832194233111063,0.0,0.18242687747088,0.0,0,-0.008608614,0,3.5579489717106556,0,-9.119223525158398,0,-0.0018968382182593415,0,1
104,33.12,0,0,0,0,0,0.0,0,0.9324,0,7.584422,0,0.429292,0.983242972527642,0.0,0.1822999094212791,0.0,0,-0.008672409,0,3.556401996937105,0,-9.119928106693706,0,-0.001859422897823543,0,1
105,33.15,0,0,0,0,0,0.0,0,0.93175,0,7.5859656,0,0.42992836,0.9832666790813628,0.0,0.18217200061564984,0.0,0,-0.008735084,0,3.5548356572268824,0,-9.120644529742597,0,-0.0018219070099670495,0,1
106,33.18,0,0,0,0,0,0.0,0,0.9311,0,7.5875335,0,0.43056166,0.983290539893263,0.0,0.1820431656405027,0.0,0,-0.008796637,0,3.5532507748570947,0,-9.12137635770534,0,-0.0017842662681550048,0,1
107,33.21,0,0,0,0,0,0.0,0,0.93045,0,7.589126,0,0.4311918,0.9833145518893712,0.0,0.18191341908337874,0.0,0,-0.008857063,0,3.5516463329924943,0,-9.122118901301175,0,-0.001746508803965673,0,1
108,33.24,0,0,0,0,0,0.0,0,0.9298,0,7.590743,0,0.43181863,0.9833387120008877,0.0,0.1817827755328737,0.0,0,-0.008916359,0,3.5500225951586506,0,-9.122874401977478,0,-0.0017087141607373968,0,1
109,33.269999999999996,0,0,0,0,0,0.0,0,0.92915,0,7.5923843,0,0.43244198,0.983363017164318,0.0,0.18165124957866216,0.0,0,-0.008974525,0,3.5483799440204913,0,-9.123642878331756,0,-0.0016708056733845272,0,1
110,33.3,0,0,0,0,0,0.0,0,0.9285,0,7.59405,0,0.43306172,0.9833874616167634,0.0,0.18151887046513598,0.0,0,-0.009031557,0,3.546718049096783,0,-9.124422480996158,0,-0.0016328914048431276,0,1
111,33.33,0,0,0,0,0,0.0,0,0.92785,0,7.5957394,0,0.4336777,0.9834120423116914,0.0,0.18138565278529598,0.0,0,-0.009087454,0,3.545037960881144,0,-9.125215001044182,0,-0.0015949432180777938,0,1
112,33.36,0,0,0,0,0,0.0,0,0.9272,0,7.5974526,0,0.43428978,0.9834367589091995,0.0,0.18125159647895298,0.0,0,-0.009142215,0,3.543338565566139,0,-9.126019162905067,0,-0.0015569614463727688,0,1
